EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 54, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.177080849171,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 55, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.173854537121,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 56, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1793703182016,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 57, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1847025553614,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 58, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.189860263943,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 59, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1948518781386,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 60, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1996852970937,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 61, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2043679266885,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 62, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2089067174629,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 63, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2055640552421,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 64, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2023266975601,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 65, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1991897445811,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 66, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1961485958639,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 67, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2069538307895,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 68, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.21747165928,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 69, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2277134274897,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 70, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2244218724441,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 71, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2212241394199,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 72, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2181162725189,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 73, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2150945352,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 74, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2121553952795,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 75, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2092955111463,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 76, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2065117190782,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 77, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2038010215575,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 78, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2011605764964,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 79, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1985876872903,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 80, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1960797936243,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 81, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1936344629693,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 82, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1912493827065,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 83, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1889223528279,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 84, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1866512791628,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 85, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1844341670887,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 86, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1822691156841,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 87, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1801543122898,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 88, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1780880274442,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 89, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1760686101634,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 90, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1740944835395,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 91, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1721641406313,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 92, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1702761406259,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 93, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1684291052507,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 94, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1666217154156,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 95, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1648527080699,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 96, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1631208732576,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 97, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1614250513557,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 98, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1597641304841,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 99, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1581370440729,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 100, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1565427685776,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 101, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1597814984485,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 102, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1582016194094,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 103, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.156652680716,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 104, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1551337821828,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 105, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1536440582129,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 106, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1521826761521,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 107, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1507488347365,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 108, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1493417626271,  RSSI, -48, Distance, 1
